DEPTH,Si,C
8.01E+00,8.95E-02,3.36E-01
1.60E+01,1.09E-01,4.51E-01
2.40E+01,1.13E-01,5.29E-01
3.20E+01,1.16E-01,5.92E-01
4.00E+01,1.19E-01,6.44E-01
4.80E+01,1.23E-01,6.90E-01
5.60E+01,1.28E-01,7.30E-01
6.40E+01,1.32E-01,7.70E-01
7.20E+01,1.36E-01,8.08E-01
8.00E+01,1.41E-01,8.45E-01
8.80E+01,1.47E-01,8.79E-01
9.60E+01,1.51E-01,9.10E-01
1.04E+02,1.56E-01,9.39E-01
1.12E+02,1.59E-01,9.66E-01
1.20E+02,1.63E-01,9.95E-01
1.28E+02,1.67E-01,1.02E+00
1.36E+02,1.69E-01,1.03E+00
1.44E+02,1.72E-01,1.05E+00
1.52E+02,1.74E-01,1.05E+00
1.60E+02,1.75E-01,1.06E+00
1.68E+02,1.74E-01,1.05E+00
1.76E+02,1.72E-01,1.04E+00
1.84E+02,1.71E-01,1.03E+00
1.92E+02,1.66E-01,1.00E+00
2.00E+02,1.62E-01,9.78E-01
2.08E+02,1.56E-01,9.41E-01
2.16E+02,1.49E-01,8.99E-01
2.24E+02,1.41E-01,8.56E-01
2.32E+02,1.33E-01,8.09E-01
2.40E+02,1.24E-01,7.57E-01
2.48E+02,1.13E-01,6.97E-01
2.56E+02,1.04E-01,6.43E-01
2.64E+02,9.38E-02,5.87E-01
2.72E+02,8.41E-02,5.30E-01
2.80E+02,7.37E-02,4.71E-01
2.88E+02,6.43E-02,4.18E-01
2.96E+02,5.51E-02,3.64E-01
3.04E+02,4.68E-02,3.16E-01
3.12E+02,3.88E-02,2.71E-01
3.20E+02,3.18E-02,2.27E-01
3.28E+02,2.62E-02,1.92E-01
3.36E+02,2.06E-02,1.60E-01
3.44E+02,1.62E-02,1.32E-01
3.52E+02,1.26E-02,1.08E-01
3.60E+02,9.60E-03,8.77E-02
3.68E+02,7.16E-03,7.12E-02
3.76E+02,5.14E-03,5.68E-02
3.84E+02,3.62E-03,4.38E-02
3.92E+02,2.65E-03,3.50E-02
4.00E+02,1.79E-03,2.75E-02
4.08E+02,1.25E-03,2.12E-02
4.16E+02,8.09E-04,1.73E-02
4.24E+02,4.69E-04,1.35E-02
4.32E+02,3.24E-04,1.05E-02
4.40E+02,1.61E-04,7.96E-03
4.48E+02,9.38E-05,6.63E-03
4.56E+02,7.38E-05,5.18E-03
4.64E+02,3.13E-05,4.38E-03
4.72E+02,2.13E-05,3.52E-03
4.80E+02,2.38E-05,2.94E-03
4.88E+02,1.88E-05,2.37E-03
4.96E+02,6.25E-06,1.72E-03
5.04E+02,8.75E-06,1.40E-03
5.12E+02,3.75E-06,1.13E-03
5.20E+02,5.00E-06,7.56E-04
5.28E+02,3.75E-06,6.00E-04
5.36E+02,0.00E+00,4.03E-04
5.44E+02,0.00E+00,3.13E-04
5.52E+02,0.00E+00,2.29E-04
5.60E+02,0.00E+00,1.59E-04
5.68E+02,0.00E+00,1.23E-04
5.76E+02,0.00E+00,1.16E-04
5.84E+02,0.00E+00,5.25E-05
5.92E+02,0.00E+00,5.38E-05
6.00E+02,0.00E+00,5.75E-05
6.08E+02,0.00E+00,5.13E-05
6.16E+02,0.00E+00,4.38E-05
6.24E+02,0.00E+00,5.13E-05
6.32E+02,0.00E+00,8.75E-06
6.40E+02,0.00E+00,6.25E-06
6.48E+02,0.00E+00,6.25E-06
6.56E+02,0.00E+00,2.50E-06
6.64E+02,0.00E+00,0.00E+00
6.72E+02,0.00E+00,0.00E+00
6.80E+02,0.00E+00,0.00E+00
6.88E+02,0.00E+00,0.00E+00
6.96E+02,0.00E+00,0.00E+00
7.04E+02,0.00E+00,0.00E+00
7.12E+02,0.00E+00,0.00E+00
7.20E+02,0.00E+00,0.00E+00
7.28E+02,0.00E+00,0.00E+00
7.36E+02,0.00E+00,0.00E+00
7.44E+02,0.00E+00,0.00E+00
7.52E+02,0.00E+00,0.00E+00
7.60E+02,0.00E+00,0.00E+00
7.68E+02,0.00E+00,0.00E+00
7.76E+02,0.00E+00,0.00E+00
7.84E+02,0.00E+00,0.00E+00
7.92E+02,0.00E+00,0.00E+00
8.00E+02,0.00E+00,0.00E+00
