DEPTH,Ga,Sn,C
3.00E+02,6.37E+04,3.16E+07,1.43E+06
3.06E+02,5.68E+04,1.04E+07,3.03E+07
3.12E+02,9.10E+04,9.06E+06,3.98E+07
3.18E+02,1.23E+05,3.93E+06,3.41E+07
3.24E+02,1.33E+05,1.48E+06,2.89E+07
3.30E+02,1.36E+05,6.70E+05,2.49E+07
3.36E+02,1.34E+05,3.37E+05,2.19E+07
3.42E+02,1.36E+05,1.75E+05,1.96E+07
3.48E+02,1.35E+05,9.72E+04,1.75E+07
3.54E+02,1.22E+05,5.02E+04,1.53E+07
3.60E+02,1.24E+05,2.48E+04,1.36E+07
3.66E+02,1.15E+05,1.15E+04,1.16E+07
3.72E+02,1.04E+05,7.67E+03,9.95E+06
3.78E+02,9.57E+04,1.83E+03,8.51E+06
3.84E+02,8.85E+04,1.17E+03,7.20E+06
3.90E+02,7.62E+04,5.00E+02,6.00E+06
3.96E+02,6.30E+04,3.33E+02,4.87E+06
4.02E+02,4.72E+04,0.00E+00,3.88E+06
4.08E+02,4.93E+04,0.00E+00,3.08E+06
4.14E+02,3.12E+04,0.00E+00,2.40E+06
4.20E+02,3.45E+04,0.00E+00,1.84E+06
4.26E+02,2.07E+04,0.00E+00,1.43E+06
4.32E+02,1.70E+04,0.00E+00,1.07E+06
4.38E+02,1.25E+04,0.00E+00,8.15E+05
4.44E+02,8.67E+03,0.00E+00,6.09E+05
4.50E+02,5.67E+03,0.00E+00,4.66E+05
4.56E+02,5.50E+03,0.00E+00,3.45E+05
4.62E+02,1.83E+03,0.00E+00,2.69E+05
4.68E+02,2.00E+03,0.00E+00,2.03E+05
4.74E+02,1.17E+03,0.00E+00,1.42E+05
4.80E+02,6.67E+02,0.00E+00,1.08E+05
4.86E+02,8.33E+02,0.00E+00,8.13E+04
4.92E+02,5.00E+02,0.00E+00,6.57E+04
4.98E+02,5.00E+02,0.00E+00,4.70E+04
5.04E+02,5.00E+02,0.00E+00,2.40E+04
5.10E+02,0.00E+00,0.00E+00,2.37E+04
5.16E+02,0.00E+00,0.00E+00,1.62E+04
5.22E+02,1.67E+02,0.00E+00,1.25E+04
5.28E+02,0.00E+00,0.00E+00,1.45E+04
5.34E+02,0.00E+00,0.00E+00,8.33E+03
5.40E+02,0.00E+00,0.00E+00,1.03E+04
5.46E+02,0.00E+00,0.00E+00,8.00E+03
5.52E+02,0.00E+00,0.00E+00,7.17E+03
5.58E+02,0.00E+00,0.00E+00,6.00E+03
5.64E+02,0.00E+00,0.00E+00,5.00E+03
5.70E+02,0.00E+00,0.00E+00,2.83E+03
5.76E+02,0.00E+00,0.00E+00,1.17E+03
5.82E+02,0.00E+00,0.00E+00,6.67E+02
5.88E+02,0.00E+00,0.00E+00,5.00E+02
5.94E+02,0.00E+00,0.00E+00,3.33E+02
6.00E+02,0.00E+00,0.00E+00,8.33E+02
