DEPTH_0,Ga,Sn,C,DEPTH
1.02E+02,1.95E-01,1.24E+00,9.03E-01,2.00E-01
1.08E+02,3.37E-01,0.00E+00,2.87E+00,8.00E-01
1.14E+02,3.22E-01,0.00E+00,2.46E+00,1.40E+00
1.20E+02,3.15E-01,0.00E+00,2.17E+00,2.00E+00
1.26E+02,3.07E-01,0.00E+00,1.98E+00,2.60E+00
1.32E+02,3.00E-01,0.00E+00,1.85E+00,3.20E+00
1.38E+02,2.94E-01,0.00E+00,1.76E+00,3.80E+00
1.44E+02,2.88E-01,0.00E+00,1.69E+00,4.40E+00
1.50E+02,2.81E-01,0.00E+00,1.63E+00,5.00E+00
1.56E+02,2.71E-01,0.00E+00,1.57E+00,5.60E+00
1.62E+02,2.63E-01,0.00E+00,1.52E+00,6.20E+00
1.68E+02,2.54E-01,0.00E+00,1.45E+00,6.80E+00
1.74E+02,2.41E-01,0.00E+00,1.38E+00,7.40E+00
1.80E+02,2.28E-01,0.00E+00,1.30E+00,8.00E+00
1.86E+02,2.14E-01,0.00E+00,1.22E+00,8.60E+00
1.92E+02,1.97E-01,0.00E+00,1.14E+00,9.20E+00
1.98E+02,1.80E-01,0.00E+00,1.05E+00,9.80E+00
2.04E+02,1.62E-01,0.00E+00,9.51E-01,1.04E+01
2.10E+02,1.44E-01,0.00E+00,8.59E-01,1.10E+01
2.16E+02,1.28E-01,0.00E+00,7.69E-01,1.16E+01
2.22E+02,1.10E-01,0.00E+00,6.77E-01,1.22E+01
2.28E+02,9.44E-02,0.00E+00,5.92E-01,1.28E+01
2.34E+02,7.88E-02,0.00E+00,5.05E-01,1.34E+01
2.40E+02,6.49E-02,0.00E+00,4.27E-01,1.40E+01
2.46E+02,5.28E-02,0.00E+00,3.59E-01,1.46E+01
2.52E+02,4.27E-02,0.00E+00,2.99E-01,1.52E+01
2.58E+02,3.32E-02,0.00E+00,2.48E-01,1.58E+01
2.64E+02,2.60E-02,0.00E+00,2.04E-01,1.64E+01
2.70E+02,1.98E-02,0.00E+00,1.66E-01,1.70E+01
2.76E+02,1.49E-02,0.00E+00,1.35E-01,1.76E+01
2.82E+02,1.10E-02,0.00E+00,1.08E-01,1.82E+01
2.88E+02,7.97E-03,0.00E+00,8.67E-02,1.88E+01
2.94E+02,5.68E-03,0.00E+00,6.82E-02,1.94E+01
3.00E+02,3.91E-03,0.00E+00,5.48E-02,2.00E+01
3.06E+02,2.79E-03,0.00E+00,4.43E-02,2.06E+01
3.12E+02,1.74E-03,0.00E+00,3.46E-02,2.12E+01
3.18E+02,1.14E-03,0.00E+00,2.75E-02,2.18E+01
3.24E+02,7.42E-04,0.00E+00,2.17E-02,2.24E+01
3.30E+02,4.43E-04,0.00E+00,1.80E-02,2.30E+01
3.36E+02,2.52E-04,0.00E+00,1.45E-02,2.36E+01
3.42E+02,1.62E-04,0.00E+00,1.18E-02,2.42E+01
3.48E+02,1.25E-04,0.00E+00,9.71E-03,2.48E+01
